Algorithm,Mode,Mu,Iter_CPU,Residual_CPU,Time_CPU,Iter_GPU,Residual_GPU,Time_GPU,Speedup_CPU_over_GPU
APDB-yx,mono,2.0,10949.0,9.99544702320487e-07,3651.2210302327294,10949.0,9.99544701201509e-07,956.561642924149,3.817026385326486
APDB-yx,nonmono,2.0,440.0,9.863762457818026e-07,287.3490536610552,440.0,9.86376245965004e-07,74.2463715750564,3.870210052898965
EGM,-,-,19999.0,0.0012033030375564802,5733.782962489517,19999.0,0.0012033030375575263,3259.666718267319,1.7590089595224994
MOSEK(CVX),-,-,,,481.88654378299543,,,481.88654378299543,1.0
rAPDB-yx,mono,2.0,4731.0,9.99605007397581e-07,1565.0482556409843,4731.0,9.99605007709753e-07,410.4045825050416,3.813427827945265
rAPDB-yx,nonmono,2.0,284.0,9.501404971026881e-07,182.9418674170156,284.0,9.501404968398994e-07,45.9029223599282,3.9854078566622606
rAPDB-yx-ada,mono,2.0,5026.0,9.99060304903692e-07,3198.8386365292463,5026.0,9.990603046368717e-07,1982.3502625549954,1.613659652863946
rAPDB-yx-ada,nonmono,2.0,284.0,9.501404971026881e-07,692.6929098970577,284.0,9.501404968398994e-07,558.5256797749607,1.240216761700474
