Algorithm,Mode,Mu,Iterations,FinalResidual,TimeSeconds
MOSEK(CVX),-,-,,,481.88654378299543
EGM,-,-,19999.0,0.0012033030375575263,3259.666718267319
APDB-yx,mono,2.0,10949.0,9.99544701201509e-07,956.561642924149
rAPDB-yx,mono,2.0,4731.0,9.99605007709753e-07,410.4045825050416
rAPDB-yx-ada,mono,2.0,5026.0,9.990603046368717e-07,1982.3502625549954
APDB-yx,nonmono,2.0,440.0,9.86376245965004e-07,74.2463715750564
rAPDB-yx,nonmono,2.0,284.0,9.501404968398994e-07,45.9029223599282
rAPDB-yx-ada,nonmono,2.0,284.0,9.501404968398994e-07,558.5256797749607
